landmark_id,category
0,http://commons.wikimedia.org/wiki/Category:Happy_Valley_Racecourse
1,http://commons.wikimedia.org/wiki/Category:Luitpoldpark_in_Munich
2,http://commons.wikimedia.org/wiki/Category:Grand_Ventron
3,"http://commons.wikimedia.org/wiki/Category:Tweed_Heads,_New_South_Wales"
4,http://commons.wikimedia.org/wiki/Category:Santa_Maria_Immacolata_della_Concezione_(Rome)
5,http://commons.wikimedia.org/wiki/Category:Lakeside_International_Raceway
6,http://commons.wikimedia.org/wiki/Category:Firehouse_Center_and_Gallery
7,"http://commons.wikimedia.org/wiki/Category:Sparkassen-Arena,_G%C3%B6ttingen"
8,http://commons.wikimedia.org/wiki/Category:White_Monuments_of_Vladimir_and_Suzdal
9,http://commons.wikimedia.org/wiki/Category:Madonna_del_Rosario_(Bosa)
10,http://commons.wikimedia.org/wiki/Category:Historisches_Museum_Basel
11,http://commons.wikimedia.org/wiki/Category:Mercado_Modelo
12,http://commons.wikimedia.org/wiki/Category:Wasserkunstanlage_Paradies_(Baden-Baden)
13,http://commons.wikimedia.org/wiki/Category:Gulf_State_Park
14,http://commons.wikimedia.org/wiki/Category:Delacorte_Theater
15,http://commons.wikimedia.org/wiki/Category:Tremper_Mound_and_Earthworks
16,http://commons.wikimedia.org/wiki/Category:Embassy_of_Canada_in_Tokyo
17,http://commons.wikimedia.org/wiki/Category:Chiesa_di_Santa_Maria_Immacolata_alla_Cervelletta
18,http://commons.wikimedia.org/wiki/Category:Orthodox_church_in_E%C5%82k
19,http://commons.wikimedia.org/wiki/Category:Andover_Canal
20,http://commons.wikimedia.org/wiki/Category:Alangdareh_Park
21,http://commons.wikimedia.org/wiki/Category:Evangelische_Kirche_(G%C3%BCtersloh-Isselhorst)
22,http://commons.wikimedia.org/wiki/Category:Castle_of_Santa_Cruz
23,http://commons.wikimedia.org/wiki/Category:Moses_Mabhida_Stadion
24,http://commons.wikimedia.org/wiki/Category:Pilot_Butte_State_Scenic_Viewpoint
25,http://commons.wikimedia.org/wiki/Category:Sant_Juli%C3%A0_de_Pedra
26,http://commons.wikimedia.org/wiki/Category:Miramar_Shopping_Centre
27,http://commons.wikimedia.org/wiki/Category:Isa_Khan_Niyazi's_tomb
28,http://commons.wikimedia.org/wiki/Category:Nilkheimer_Park
29,"http://commons.wikimedia.org/wiki/Category:St_Peter,_Claydon"
30,http://commons.wikimedia.org/wiki/Category:Monument_of_Glory_in_Samara
31,http://commons.wikimedia.org/wiki/Category:St._Nikolaus_(%C3%9Cberlingen)
32,http://commons.wikimedia.org/wiki/Category:Olavskirken_ruin
33,http://commons.wikimedia.org/wiki/Category:Honkakuji
34,"http://commons.wikimedia.org/wiki/Category:Lesisty_Range,_Caucasus"
35,http://commons.wikimedia.org/wiki/Category:Jardim_de_S%C3%A3o_Pedro_de_Alc%C3%A2ntara
36,http://commons.wikimedia.org/wiki/Category:Cabo_Mayor
37,"http://commons.wikimedia.org/wiki/Category:Church_of_Saint_Stephen,_Prague"
38,http://commons.wikimedia.org/wiki/Category:PalaKr%C3%B2
39,http://commons.wikimedia.org/wiki/Category:Grube_Wohlfahrt_(Bergwerk)
40,http://commons.wikimedia.org/wiki/Category:Sm%C3%B6genbryggan
41,http://commons.wikimedia.org/wiki/Category:Bar_U_Ranch
42,http://commons.wikimedia.org/wiki/Category:Deyang_Confucian_Temple
43,http://commons.wikimedia.org/wiki/Category:Abbaye_de_Caunes-Minervois
44,http://commons.wikimedia.org/wiki/Category:San_Giuseppe_dei_Falegnami_(Forl%C3%AC)
45,http://commons.wikimedia.org/wiki/Category:Groupama_Arena
46,"http://commons.wikimedia.org/wiki/Category:Bushy_Park,_Dublin"
47,http://commons.wikimedia.org/wiki/Category:Dobr%C3%A1_Voda_(B%C5%99eznice)
48,http://commons.wikimedia.org/wiki/Category:The_Beresford
49,http://commons.wikimedia.org/wiki/Category:Spitzstein
50,http://commons.wikimedia.org/wiki/Category:Raimund_Theater
51,http://commons.wikimedia.org/wiki/Category:California_Hall_of_Fame
52,http://commons.wikimedia.org/wiki/Category:Pe%C8%99tera_Huda_lui_Papar%C4%83
53,http://commons.wikimedia.org/wiki/Category:Louka_vstava%C4%8D%C5%AF_u_%C4%8Cern%C3%BD%C5%A1e
54,http://commons.wikimedia.org/wiki/Category:Karstadt_am_Bahnhof_(in_Munich)
55,http://commons.wikimedia.org/wiki/Category:North_Brother_Island
56,http://commons.wikimedia.org/wiki/Category:Cumberland_Gap
57,http://commons.wikimedia.org/wiki/Category:The_Hellenic_Centre
58,http://commons.wikimedia.org/wiki/Category:Saint_Procopius_church_in_Strzelno
59,http://commons.wikimedia.org/wiki/Category:Balcun_At
60,http://commons.wikimedia.org/wiki/Category:Illinska_Church_in_Kiev
61,http://commons.wikimedia.org/wiki/Category:Schweppenburg
62,"http://commons.wikimedia.org/wiki/Category:Church_of_San_Andr%C3%A9s,_Cuenca"
63,"http://commons.wikimedia.org/wiki/Category:Nago-ji_(Tateyama,_Chiba)"
64,http://commons.wikimedia.org/wiki/Category:Nordic_Heritage_Museum
65,http://commons.wikimedia.org/wiki/Category:John_Deere_House_and_Shop
66,http://commons.wikimedia.org/wiki/Category:Church_of_the_Protection_of_the_Theotokos_in_Yasenevo
67,http://commons.wikimedia.org/wiki/Category:Havergate_Island
68,http://commons.wikimedia.org/wiki/Category:Paramount_Fine_Foods_Centre
69,http://commons.wikimedia.org/wiki/Category:Yale_University_Library
70,http://commons.wikimedia.org/wiki/Category:Baia_di_Ieranto
71,http://commons.wikimedia.org/wiki/Category:Brooklyn_Tabernacle
72,http://commons.wikimedia.org/wiki/Category:Schleswig-Holstein_Musik_Festival
73,http://commons.wikimedia.org/wiki/Category:Rindum_Kirke
74,http://commons.wikimedia.org/wiki/Category:Irtyash_Lake
75,http://commons.wikimedia.org/wiki/Category:Moorteichwiese
76,http://commons.wikimedia.org/wiki/Category:Candi_Karangnongko
77,http://commons.wikimedia.org/wiki/Category:Santuario_de_la_Virgen_de_la_Cueva
78,http://commons.wikimedia.org/wiki/Category:Gras%C3%B8yane_fyr
79,http://commons.wikimedia.org/wiki/Category:Cape_Egmont_Lighthouse
80,http://commons.wikimedia.org/wiki/Category:Dyktankhuset
81,http://commons.wikimedia.org/wiki/Category:Cath%C3%A9drale_Notre-Dame_des_Doms_d'Avignon
82,http://commons.wikimedia.org/wiki/Category:St._Martinus_(Kierdorf)
83,"http://commons.wikimedia.org/wiki/Category:Bro_kyrka,_Bohusl%C3%A4n"
84,http://commons.wikimedia.org/wiki/Category:Hindu_Temple_of_Atlanta
85,http://commons.wikimedia.org/wiki/Category:Dayton_Aviation_Heritage_National_Historical_Park
86,http://commons.wikimedia.org/wiki/Category:Colonna_della_Pace_(Rome)_-_fountain
87,http://commons.wikimedia.org/wiki/Category:Pla%C3%A7a_de_toros_de_Palma
88,http://commons.wikimedia.org/wiki/Category:Waikiki_Shell
89,http://commons.wikimedia.org/wiki/Category:Mino_Bridge
90,http://commons.wikimedia.org/wiki/Category:Llyn_Teyrn
91,http://commons.wikimedia.org/wiki/Category:Fontaine_d'Arnouville
92,http://commons.wikimedia.org/wiki/Category:Farnsley-Moreman_House
93,http://commons.wikimedia.org/wiki/Category:Kyushu_African_Safari
94,http://commons.wikimedia.org/wiki/Category:Christuskirche_(Oberhausen)
95,http://commons.wikimedia.org/wiki/Category:Old_Beijing_Theme_Park
96,http://commons.wikimedia.org/wiki/Category:Parroquia_San_Antonio_de_Padua
97,http://commons.wikimedia.org/wiki/Category:Gro%C3%9Fer_Kernbruch_(Naturschutzgebiet)
98,http://commons.wikimedia.org/wiki/Category:University_of_Idaho
99,http://commons.wikimedia.org/wiki/Category:North_Gate_of_Taipei_City
100,http://commons.wikimedia.org/wiki/Category:Nissi_Church
